
ভাবী,ভবিষ্যতে হবে এমন
হতসর্বস্ব,যার সর্বস্ব চুরি গেছে 
হৃদয়ঙ্গম,যা হৃদয়ে গমন করে 
হজমী,যা হজম করায় 
হৃদয়বিদারক,যা হৃদয় বিদীর্ণ করে 
হিরন্ময়,যা হিরণ্য দ্বারা নির্মিত 
কৃতবিদ্য,যিনি বিদ্যালাভ করেছেন 
কাটারি,যা দিয়ে কাটা হয় 
যাদব,যদু বংশে জন্ম যার 
অভিবাদন,যথাবিহিত শ্রদ্ধা নিবেদন 
যাবজ্জীবন,যতদিন জীবন ততদিন 
অনতিক্রম্য,যা অতিক্রম করা যায় না 
সহজ,যা অনায়াসে বুঝতে পারা যায় 
অটুট,যা একটুও ভাঙেনি 
প্রকাশিত,যা প্রকাশ পেয়েছে 
প্রকাশ্য,যা প্রকাশিত হবে 
অমৃত্যু,যা পান করলে কখনো মৃত্যু হয় না 
অনিন্দ্য,যা নিন্দা বা ক্রোধা করার যোগ্য নয় 
অনিবার্য,যা নিবারণ করা যায় না 
শতকন্ঠী,যিনি একাই ১০০ জনের সমান কাজ করেন 
পূর্ণ,যার কোনো কিছুর অভাব নেই 
অকুতোভয়,যার কোনো কিছুতেই ভয় নেই 
গুরুপাক/দুষ্পাচ্য,যা সহজে পরিপাক করা যায় না 
ব্যয়বহুল,যা সম্পন্ন করতে অনেক ব্যয় হয় 
আটপৌরে,যা সারাদিন ব্যবহার করা হয় 
কদাকার,যার আকার কুৎসিত 
নির্গন্ধ,যাহার গন্ধ নেই 
সুগন্ধী,যার গন্ধ ভাল 
যুবজানী,যার জায়া যুবতী 
ক্ষণপ্রভা,যার প্রভা ক্ষণকাল স্থায়ী 
নিরোগ,যার রোগ নেই 
নির্লজ্জ,যার লজ্জা নেই 
হতসর্বস্ব,যার সর্বস্ব চুরি গিয়েছে 
নিঃস্ব,যার নিজের বলতে কিছু নেই 
সহোদর,যারা এক মাতার গর্ভে জন্মেছে 
অশ্রুতপূর্ব,যা পূর্বে শোনা যায়নি 
স্রষ্টা,যিনি সৃষ্টি করেন 
পৃষ্ঠপোষক,যে অপরের পৃষ্ঠপোষকতা করেন 
বীতস্পৃহ,যে কোন বিষয়ে স্পৃহা হারিয়েছে 
স্বচ্ছ,যার ভিতর দিয়ে দৃষ্টি চলে 
অচ্ছেদ্য,যা ছেদন করা যায় না 
অজিত,যে পরাজিত হয়নি 
অজ্ঞাতনামা,যার নাম জানা যায়নি 
গেঁজেল,যে গাঁজার নেশা করে 
তুষভুক,যে তুষাদি খেয়ে জীবনধারণ করে 
একাহারী,যে দিনে একবার আহার করে 
কৃতদার,যে পুরুষ বিবাহ করেছে 
উদ্বাস্তু,যে বাস্তু থেকে উৎখাত হয়েছে 
শ্বাপদসংকুল,যে বন হিংস্র জন্তুতে পরিপূর্ণ 
অর্বাচীন,যে প্রবীণ বা প্রাচীন নয় 
অগ্রজ,যে (ভাই) অগ্রে জন্মগ্রহণ করেছে 
অনুজ,যে (ভাই) পরে জন্মগ্রহণ করেছে 
অনিকেত,যার বাসস্থান নেই 
সুকেশা,যে রমণীর সুন্দর কেশ আছে 
হাতুড়ে,যে রোগ নির্ণয়ে হাতড়িয়ে মরে 
সর্বভুক,যে সকল বস্তু ভক্ষণ করে 
স্তন্যপায়ী,যে স্তন পান করে 
অনুক্ত,যা বলা হয়নি 
অকুতোভয়,যার কোথাও ভয় নেই 
ক্রীত,ক্রয় করা হয়েছে যা 
ক্রমাগত,ক্রমে ক্রমে এসেছে যা 
কুশাগ্রবুদ্ধি,কুশের অগ্রভাগের ন্যায় সূক্ষ্ম বুদ্ধি যার 
কামান্ধ,কামের উত্তেজনায় অন্ধ যে 
কামদ্দীপক,কাম লালসার উদ্রেক করে যা 
স্বল্পভাষী,কম কথা বলে যে 
স্বল্পাহারী,কম আহার করে যে 
ক্ষমা,কম আছে বা হয়েছে যা 
কংসারি,কংসের শত্রু যিনি 
কথক,কথকতা বা পুরাণ পাঠ করেন যিনি 
স্বার্থপর,কেবল আপনার লাভ দেখে যে 
দুর্লভ,কষ্টে লাভ করা যায় যা 
দূরতিক্রম,কষ্টে অতিক্রম করা যায় যা 
অবর্ণনীয়,কথার দ্বারা যা বর্ণনা করা যায় না 
দুর্গম,কষ্টে গমন করা যায় যেখানে 
দুর্জেয়,কষ্টে যা জয় করা যায় 
কানীন,কুমারীর পুত্র 
কর্মকর্তা,কর্মের তত্ত্বাবধান করেন যিনি 
কর্মচারী,কর্মের জন্য নিযুক্ত ব্যক্তি 
কাটারি,কাটা যায় যার দ্বারা 
